table_id,fio2,peep_cmH2O
ARDSNet_low,0.3,5
ARDSNet_low,0.4,5-8
ARDSNet_low,0.5,8-10
ARDSNet_low,0.6,10
ARDSNet_low,0.7,10-12
ARDSNet_low,0.8,12-14
ARDSNet_low,0.9,18
ARDSNet_low,1.0,18-24
ARDSNet_high,0.3,5-14
ARDSNet_high,0.4,14-16
ARDSNet_high,0.5,16-18
ARDSNet_high,0.6,18-20
ARDSNet_high,0.7,18-20
ARDSNet_high,0.8,20-22
ARDSNet_high,0.9,22
ARDSNet_high,1.0,22-24
