# DANH SACH THUOC TIM THAY BANG NHIEU PHUONG PHAP
# Tong so: 172

Efavirenz (EFV) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Efavirenz/Tenofovir disoproxil fumarate/Emtricitabine (EFV/TDF/FTC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Emtricitabine (FTC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Epoetin alfa | drugs\drug_modules\hematology.py | Methods: method1, method2, method3, method4, method5
Erythromycin eye ointment | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Erythromycin topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ethinyl estradiol + Levonorgestrel | drugs\drug_modules\obstetrics_gynecology.py | Methods: method1, method2, method3, method4
Fexofenadine/Pseudoephedrine | drugs\drug_modules\ent_oral_nasal_combinations.py | Methods: method1, method2, method3, method4, method5
Fluticasone inhaled | drugs\drug_modules\respiratory\inhaled_corticosteroid_icss.py | Methods: method1, method2, method3, method4, method5
Fluticasone/Salmeterol inhaler | drugs\drug_modules\respiratory\combination_inhalers.py | Methods: method1, method2, method3, method4, method5
Fluticasone/Umeclidinium/Vilanterol inhaler | drugs\drug_modules\respiratory\combination_inhalers.py | Methods: method1, method2, method3, method4, method5
Folic Acid | drugs\drug_modules\miscellaneous\vitamins.py | Methods: method1, method2, method3, method4, method5
Folic acid | drugs\drug_modules\supportive\folates.py | Methods: method1, method2, method3, method4
Fusidic Acid | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Fusidic acid/Betamethasone topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ganciclovir eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Gentamicin eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Gentamicin/Betamethasone/Clotrimazole topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ginkgo biloba extract | drugs\drug_modules\neurological\cerebral_circulation.py | Methods: method1, method2, method3, method4, method5
Ginkgo biloba/Vinpocetine | drugs\drug_modules\neurological\neurological_combinations.py | Methods: method1, method2, method3, method4, method5
High-intensity statin (đột quỵ/TIA) | drugs\drug_modules\cardiovascular_other\statins.py | Methods: method1, method2, method3, method4, method5
Hydrocortisone topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Hyoscine butylbromide | drugs\drug_modules\gastrointestinal\antispasmodics.py | Methods: method1, method2, method3, method4, method5
Icosapent ethyl | drugs\drug_modules\cardiovascular\triglyceride_lowering.py | Methods: method1, method2, method3, method4, method5
Imipenem-cilastatin | drugs\drug_modules\antimicrobial\antibiotics\beta_lactams.py | Methods: method2, method3, method4
Insulin Aspart | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Degludec | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Detemir | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Glargine | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Glulisine | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Lispro | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin NPH | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Insulin Regular | drugs\drug_modules\diabetes\specific_insulins.py | Methods: method1, method2, method3, method4, method5
Ipratropium/Salbutamol inhaler | drugs\drug_modules\respiratory\combination_inhalers.py | Methods: method1, method2, method3, method4, method5
Isosorbide mononitrate | drugs\drug_modules\cardiovascular\vasodilators.py | Methods: method2, method3, method4
Ivermectin cream | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ketoconazole topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ketoprofen gel | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Ketorolac eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Ketotifen eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Lamivudine (3TC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Levodopa/Carbidopa | drugs\drug_modules\neurological\antiparkinsonian.py | Methods: method1, method2, method3, method4
Linezolid (lao MDR/XDR) | drugs\drug_modules\infectious_other\antituberculars.py | Methods: method1, method2, method3, method4, method5
Lisinopril/Hydrochlorothiazide | drugs\drug_modules\cardiovascular\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Loratadine/Pseudoephedrine | drugs\drug_modules\ent_oral_nasal_combinations.py | Methods: method1, method2, method3, method4, method5
Losartan/Hydrochlorothiazide | drugs\drug_modules\cardiovascular\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Magnesium oxide | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Magnesium sulfate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4
Metformin/Dapagliflozin | drugs\drug_modules\diabetes\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Metformin/Empagliflozin | drugs\drug_modules\diabetes\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Metformin/Glibenclamide | drugs\drug_modules\diabetes\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
