# DANH SACH THUOC CHI TIET
# Tong so: 721

5-Fluorouracil | drug_modules\oncology\antimetabolites.py | 23 fields
Ivermectin cream | drug_modules\dermatology.py | 23 fields
Ixekizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Ketamine | drug_modules\supportive\sedatives_anesthetics_icu.py | 26 fields
Ketoconazole topical | drug_modules\dermatology.py | 23 fields
Ketoprofen | drug_modules\analgesics\nsaids.py | 23 fields
Ketoprofen gel | drug_modules\dermatology.py | 23 fields
Ketorolac | drug_modules\analgesics\nsaids.py | 25 fields
Ketorolac eye drops | drug_modules\ophthalmology.py | 24 fields
Ketotifen eye drops | drug_modules\ophthalmology.py | 23 fields
Labetalol | drug_modules\cardiovascular\other_cv.py | 27 fields
Lacidipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 22 fields
Lacosamide | drug_modules\neurological\anticonvulsants.py | 23 fields
Lactulose | drug_modules\gastrointestinal\laxatives.py | 25 fields
Lamivudine (3TC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Lamotrigine | drug_modules\neurological\anticonvulsants.py | 22 fields
Lanadelumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Lansoprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 23 fields
Lasmiditan | drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py | 24 fields
Latanoprost | drug_modules\ophthalmology.py | 23 fields
Lecanemab | drug_modules\neurological\alzheimer_dementia_drugs.py | 24 fields
Ledipasvir | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Lefamulin | drug_modules\antimicrobial\antibiotics\others.py | 23 fields
Leflunomide | drug_modules\miscellaneous\dmards_rheumatology.py | 24 fields
Levamisole | drug_modules\infectious_other\anthelmintics.py | 24 fields
Levetiracetam | drug_modules\neurological\anticonvulsants.py | 23 fields
Levocetirizine | drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py | 24 fields
Levodopa/Carbidopa | drug_modules\neurological\antiparkinsonian.py | 22 fields
Levofloxacin | drug_modules\antimicrobial\antibiotics\fluoroquinolones.py | 34 fields
Levonorgestrel | drug_modules\obstetrics_gynecology.py | 23 fields
Levothyroxine | drug_modules\metabolic\thyroid_hormones.py | 23 fields
Lidocaine | drug_modules\emergency\local_anesthetic__antiarrhythmic_class_ibs.py | 23 fields
Linagliptin | drug_modules\diabetes\dpp_4_inhibitors.py | 25 fields
Linezolid | drug_modules\antimicrobial\antibiotics\oxazolidinones.py | 31 fields
Linezolid (lao MDR/XDR) | drug_modules\infectious_other\antituberculars.py | 24 fields
Liraglutide | drug_modules\diabetes\glp1_agonists.py | 26 fields
Lisdexamfetamine | drug_modules\psychiatry_other\adhd_anxiolytics.py | 23 fields
Lisinopril | drug_modules\cardiovascular\ace_inhibitors.py | 30 fields
Lisinopril/Hydrochlorothiazide | drug_modules\cardiovascular\fixed_dose_combinations.py | 24 fields
Loperamide | drug_modules\gastrointestinal\antidiarrheals.py | 23 fields
Loratadine | drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py | 22 fields
Loratadine/Pseudoephedrine | drug_modules\ent_oral_nasal_combinations.py | 23 fields
Lorazepam | drug_modules\neurological\benzodiazepines.py | 23 fields
Losartan | drug_modules\cardiovascular\arbs.py | 30 fields
Losartan/Hydrochlorothiazide | drug_modules\cardiovascular\fixed_dose_combinations.py | 24 fields
Lovastatin | drug_modules\cardiovascular\statins.py | 26 fields
Lurasidone | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Magnesium oxide | drug_modules\emergency\electrolytes.py | 23 fields
Magnesium sulfate | drug_modules\emergency\electrolytes.py | 23 fields
Mebendazole | drug_modules\infectious_other\anthelmintics.py | 23 fields
Mebeverine | drug_modules\gastrointestinal\antispasmodics.py | 25 fields
Medroxyprogesterone | drug_modules\obstetrics_gynecology.py | 24 fields
Meloxicam | drug_modules\analgesics\nsaids.py | 25 fields
Memantine | drug_modules\neurological\alzheimer_dementia_drugs.py | 23 fields
Meperidine | drug_modules\analgesics\opioid_agonist_strongs.py | 24 fields
Mepolizumab | drug_modules\respiratory\respiratory_biologics.py | 23 fields
Meropenem | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 26 fields
Mesalazine | drug_modules\gastrointestinal\ibd_5asa.py | 24 fields
Metaxalone | drug_modules\neurological\muscle_relaxants.py | 22 fields
Metformin | drug_modules\diabetes\biguanides.py | 29 fields
Metformin/Dapagliflozin | drug_modules\diabetes\fixed_dose_combinations.py | 24 fields
Metformin/Empagliflozin | drug_modules\diabetes\fixed_dose_combinations.py | 24 fields
Metformin/Glibenclamide | drug_modules\diabetes\fixed_dose_combinations.py | 23 fields
Metformin/Pioglitazone | drug_modules\diabetes\fixed_dose_combinations.py | 23 fields
Metformin/Sitagliptin | drug_modules\diabetes\fixed_dose_combinations.py | 24 fields
Methadone | drug_modules\analgesics\opioid_agonist_strongs.py | 24 fields
Methimazole | drug_modules\metabolic\antithyroid.py | 23 fields
Methocarbamol | drug_modules\neurological\muscle_relaxants.py | 22 fields
Methotrexate | drug_modules\miscellaneous\dmards_rheumatology.py | 24 fields
Methyldopa | drug_modules\cardiovascular\other_cv.py | 23 fields
Methylergonovine | drug_modules\emergency\uterotonics.py | 23 fields
Methylphenidate | drug_modules\psychiatry_other\adhd_anxiolytics.py | 23 fields
Methylprednisolone | drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py | 22 fields
Metoclopramide | drug_modules\gastrointestinal\prokinetic_antiemetics.py | 23 fields
Metoprolol | drug_modules\cardiovascular\beta_blockers\selective.py | 29 fields
Metronidazole | drug_modules\infectious_other\nitroimidazoles.py | 24 fields
Metronidazole (vaginal gel) | drug_modules\obstetrics_gynecology.py | 24 fields
Metronidazole topical | drug_modules\dermatology.py | 23 fields
Micafungin | drug_modules\antimicrobial\antifungals\echinocandins.py | 25 fields
Miconazole (vaginal) | drug_modules\obstetrics_gynecology.py | 24 fields
Miconazole topical | drug_modules\dermatology.py | 23 fields
Miconazole/Hydrocortisone topical | drug_modules\dermatology.py | 24 fields
Midazolam (IV/ICU) | drug_modules\supportive\sedatives_anesthetics_icu.py | 26 fields
Miglitol | drug_modules\diabetes\alpha_glucosidase_inhibitors.py | 23 fields
Milrinone | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 25 fields
Minocycline | drug_modules\antimicrobial\antibiotics\tetracyclines.py | 27 fields
Mirabegron | drug_modules\urology.py | 24 fields
Mirtazapine | drug_modules\psychiatry_other\antidepressants.py | 23 fields
Misoprostol | drug_modules\gastrointestinal\mucosal_protectants.py | 23 fields
Mometasone topical | drug_modules\dermatology.py | 23 fields
Montelukast | drug_modules\respiratory\leukotriene_receptor_antagonists.py | 24 fields
Morphine | drug_modules\analgesics\opioid_agonist_strongs.py | 25 fields
Moxifloxacin | drug_modules\antimicrobial\antibiotics\fluoroquinolones.py | 31 fields
Moxifloxacin eye drops | drug_modules\ophthalmology.py | 23 fields
Mupirocin topical | drug_modules\dermatology.py | 23 fields
Mycophenolate | drug_modules\miscellaneous\immunosuppressants.py | 23 fields
Nadolol | drug_modules\cardiovascular\beta_blockers\non_selective.py | 23 fields
Nafcillin | drug_modules\antimicrobial\antibiotics\penicillins.py | 16 fields
Naloxone | drug_modules\emergency\opioid_antagonists.py | 23 fields
Naltrexone | drug_modules\emergency\opioid_antagonists.py | 23 fields
Naproxen | drug_modules\analgesics\nsaids.py | 25 fields
Natalizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Nateglinide | drug_modules\diabetes\meglitinides.py | 23 fields
Nebivolol | drug_modules\cardiovascular\beta_blockers\selective.py | 26 fields
Nedocromil | drug_modules\respiratory\leukotriene_receptor_antagonists.py | 24 fields
Nepafenac eye drops | drug_modules\ophthalmology.py | 24 fields
Nesiritide | drug_modules\cardiovascular\vasodilators.py | 23 fields
Niacin | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Nicardipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 23 fields
Nicergoline | drug_modules\neurological\cerebral_circulation.py | 25 fields
Nifedipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 26 fields
Nimesulide | drug_modules\analgesics\nsaids.py | 23 fields
Nimodipine | drug_modules\neurological\cerebral_circulation.py | 25 fields
Nisoldipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 23 fields
Nitrofurantoin | drug_modules\antimicrobial\antibiotics\others.py | 26 fields
Nitroglycerin | drug_modules\cardiovascular\vasodilators.py | 23 fields
Nitroprusside | drug_modules\cardiovascular\vasodilators.py | 23 fields
Nivolumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Norepinephrine | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 21 fields
Norfloxacin | drug_modules\antimicrobial\antibiotics\fluoroquinolones.py | 16 fields
Nystatin | drug_modules\antimicrobial\antifungals\polyenes.py | 23 fields
Ocrelizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Ofatumumab | drug_modules\neurological\multiple_sclerosis_drugs.py | 24 fields
Ofloxacin | drug_modules\antimicrobial\antibiotics\fluoroquinolones.py | 16 fields
Olanzapine | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Olanzapine/Fluoxetine | drug_modules\neurological\neurological_combinations.py | 25 fields
Olmesartan | drug_modules\cardiovascular\arbs.py | 26 fields
Olodaterol | drug_modules\respiratory\long_acting_beta_2_agonist_labas.py | 23 fields
Olopatadine eye drops | drug_modules\ophthalmology.py | 23 fields
Omadacycline | drug_modules\antimicrobial\antibiotics\others.py | 23 fields
Omalizumab | drug_modules\respiratory\respiratory_biologics.py | 23 fields
Omega-3 acid ethyl esters | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Omeprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 26 fields
Ondansetron | drug_modules\gastrointestinal\antiemetic_5_ht3_antagonists.py | 23 fields
Opicapone | drug_modules\neurological\antiparkinsonian.py | 23 fields
Oseltamivir | drug_modules\antimicrobial\antivirals\influenza.py | 24 fields
Oxacillin | drug_modules\antimicrobial\antibiotics\penicillins.py | 16 fields
Oxaliplatin | drug_modules\oncology\platinum_compounds.py | 24 fields
Oxcarbazepine | drug_modules\neurological\anticonvulsants.py | 26 fields
Oxybutynin | drug_modules\urology.py | 24 fields
Oxycodone | drug_modules\analgesics\opioid_agonist_strongs.py | 23 fields
Oxytocin | drug_modules\emergency\uterotonics.py | 24 fields
PAS (para-aminosalicylic acid) | drug_modules\infectious_other\antituberculars.py | 26 fields
Paclitaxel | drug_modules\oncology\taxanes.py | 23 fields
Palonosetron | drug_modules\oncology\anti_emetic_5_ht3_antagonists.py | 23 fields
Pamidronate | drug_modules\emergency\electrolytes.py | 23 fields
Pantoprazole | drug_modules\gastrointestinal\proton_pump_inhibitors.py | 26 fields
Paracetamol | drug_modules\analgesics\analgesic_antipyretic.py | 27 fields
Paracetamol/Carisoprodol | drug_modules\analgesics\pain_muscle_relaxant_combinations.py | 23 fields
Paracetamol/Chlorzoxazone | drug_modules\analgesics\pain_muscle_relaxant_combinations.py | 23 fields
Paracetamol/Methocarbamol | drug_modules\analgesics\pain_muscle_relaxant_combinations.py | 23 fields
Paracetamol/Orphenadrine | drug_modules\analgesics\pain_muscle_relaxant_combinations.py | 23 fields
Paroxetine | drug_modules\psychiatry_other\ssris.py | 24 fields
Pemafibrate | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Pembrolizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Penicillin G | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 27 fields
Penicillin V | drug_modules\infectious_other\beta_lactams.py | 24 fields
Perampanel | drug_modules\neurological\anticonvulsants.py | 23 fields
Perindopril | drug_modules\cardiovascular\ace_inhibitors.py | 26 fields
Permethrin topical | drug_modules\dermatology.py | 23 fields
Phenelzine | drug_modules\psychiatry_other\antidepressants.py | 23 fields
Phenobarbital | drug_modules\neurological\anticonvulsants.py | 27 fields
Phenylephrine | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 25 fields
Phenylephrine eye drops | drug_modules\ophthalmology.py | 23 fields
Phenytoin | drug_modules\neurological\anticonvulsants.py | 27 fields
Pilocarpine eye drops | drug_modules\ophthalmology.py | 24 fields
Pimavanserin | drug_modules\neurological\antiparkinsonian.py | 23 fields
Pimecrolimus | drug_modules\dermatology.py | 24 fields
Pimozide | drug_modules\psychiatry_other\antipsychotics.py | 23 fields
Pioglitazone | drug_modules\diabetes\thiazolidinedione_tzds.py | 23 fields
Piperacillin-tazobactam | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 27 fields
Piracetam | drug_modules\neurological\cerebral_circulation.py | 24 fields
Piracetam/Vinpocetine | drug_modules\neurological\neurological_combinations.py | 25 fields
Piroxicam | drug_modules\analgesics\nsaids.py | 23 fields
Pitavastatin | drug_modules\cardiovascular\statins.py | 26 fields
Plazomicin | drug_modules\antimicrobial\antibiotics\aminoglycosides.py | 23 fields
Plozasiran | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Polyethylene glycol 3350 | drug_modules\gastrointestinal\laxatives.py | 25 fields
Polymyxin B | drug_modules\antimicrobial\antibiotics\polymyxins.py | 26 fields
Polymyxin B/Trimethoprim eye drops | drug_modules\ophthalmology.py | 23 fields
Posaconazole | drug_modules\antimicrobial\antifungals\azoles.py | 26 fields
Potassium phosphate | drug_modules\emergency\electrolytes.py | 23 fields
Pramipexole | drug_modules\neurological\antiparkinsonian.py | 23 fields
Prasugrel | drug_modules\cardiovascular\anticoagulants.py | 27 fields
Pravastatin | drug_modules\cardiovascular\statins.py | 29 fields
Praziquantel | drug_modules\infectious_other\anthelmintics.py | 24 fields
Prednisolone | drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py | 22 fields
Prednisolone eye drops | drug_modules\ophthalmology.py | 26 fields
Prednisone | drug_modules\metabolic\corticosteroids.py | 24 fields
Pregabalin | drug_modules\neurological\anticonvulsant_alpha_2_delta_ligands.py | 23 fields
Primaquine | drug_modules\infectious_other\antimalarials.py | 25 fields
Primidone | drug_modules\neurological\anticonvulsants.py | 23 fields
Probenecid | drug_modules\miscellaneous\gout_medications.py | 24 fields
Procainamide | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Progesterone | drug_modules\obstetrics_gynecology.py | 24 fields
Propafenone | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Propofol | drug_modules\supportive\sedatives_anesthetics_icu.py | 26 fields
Propranolol | drug_modules\cardiovascular\beta_blockers\non_selective.py | 26 fields
Propylthiouracil | drug_modules\metabolic\antithyroid.py | 23 fields
Protamine | drug_modules\hematology.py | 26 fields
Pyrazinamide | drug_modules\infectious_other\antituberculars.py | 26 fields
Quetiapine | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Quinidine | drug_modules\cardiovascular\antiarrhythmics.py | 23 fields
Rabeprazole | drug_modules\gastrointestinal\proton_pump_inhibitors.py | 23 fields
Raloxifene | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Ramipril | drug_modules\cardiovascular\ace_inhibitors.py | 26 fields
Ranitidine | drug_modules\gastrointestinal\h2_receptor_antagonists.py | 22 fields
Ravulizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Remdesivir | drug_modules\antimicrobial\antivirals\influenza.py | 29 fields
Repaglinide | drug_modules\diabetes\meglitinides.py | 23 fields
Reslizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Ribavirin | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Rifabutin | drug_modules\infectious_other\antituberculars.py | 26 fields
Rifampin | drug_modules\infectious_other\antituberculars.py | 26 fields
Rifapentine | drug_modules\infectious_other\antituberculars.py | 26 fields
Rilpivirine (RPV) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Rimegepant | drug_modules\neurological\migraine_cgrp_drugs.py | 23 fields
Risankizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Risedronate | drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py | 24 fields
Risperidone | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Ritonavir (low-dose booster) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Rituximab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Rivaroxaban | drug_modules\cardiovascular\anticoagulants.py | 26 fields
Rivastigmine | drug_modules\neurological\alzheimer_dementia_drugs.py | 23 fields
Rizatriptan | drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py | 23 fields
Rocuronium | drug_modules\emergency\neuromuscular_blockers.py | 25 fields
Roflumilast | drug_modules\respiratory\pde4_inhibitors.py | 23 fields
Romiplostim | drug_modules\hematology.py | 26 fields
Romosozumab | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Ropinirole | drug_modules\neurological\antiparkinsonian.py | 22 fields
Rosiglitazone | drug_modules\diabetes\thiazolidinedione_tzds.py | 23 fields
Rosuvastatin | drug_modules\cardiovascular\statins.py | 29 fields
Sacituzumab govitecan | drug_modules\oncology\monoclonal_antibodies_adcs.py | 24 fields
Sacubitril-valsartan | drug_modules\cardiovascular\other_cv.py | 29 fields
Safinamide | drug_modules\neurological\antiparkinsonian.py | 23 fields
Salbutamol | drug_modules\miscellaneous\beta_2_agonist_short_actings.py | 23 fields
Salicylic Acid | drug_modules\dermatology.py | 23 fields
Salmeterol | drug_modules\respiratory\long_acting_beta_2_agonist_labas.py | 23 fields
Sarilumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Saxagliptin | drug_modules\diabetes\dpp_4_inhibitors.py | 25 fields
Secukinumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Semaglutide | drug_modules\diabetes\glp1_agonists.py | 26 fields
Senna (sennosides) | drug_modules\gastrointestinal\laxatives.py | 25 fields
Sertraline | drug_modules\psychiatry_other\ssris.py | 24 fields
Sildenafil | drug_modules\urology.py | 26 fields
Silodosin | drug_modules\urology.py | 25 fields
Simethicone | drug_modules\gastrointestinal\antiflatulents.py | 24 fields
Simvastatin | drug_modules\cardiovascular\statins.py | 26 fields
Sitagliptin | drug_modules\diabetes\dpp_4_inhibitors.py | 29 fields
Sodium bicarbonate | drug_modules\emergency\electrolytes.py | 23 fields
Sodium phosphate | drug_modules\emergency\electrolytes.py | 23 fields
Sodium polystyrene sulfonate | drug_modules\emergency\electrolytes.py | 23 fields
Sofosbuvir | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Sofosbuvir/Velpatasvir | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Solifenacin | drug_modules\urology.py | 26 fields
Sotagliflozin | drug_modules\cardiovascular\other_cv.py | 24 fields
Sotalol | drug_modules\cardiovascular\antiarrhythmics.py | 23 fields
Sparfloxacin | drug_modules\infectious_other\fluoroquinolones.py | 23 fields
Spironolactone | drug_modules\cardiovascular\diuretics.py | 30 fields
Streptomycin | drug_modules\infectious_other\antituberculars.py | 26 fields
Succinylcholine | drug_modules\emergency\neuromuscular_blockers.py | 25 fields
Sucralfate | drug_modules\gastrointestinal\mucosal_protectants.py | 23 fields
Sulfasalazine | drug_modules\gastrointestinal\ibd_5asa.py | 24 fields
Sumatriptan | drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py | 23 fields
Tacrolimus | drug_modules\miscellaneous\immunosuppressants.py | 25 fields
Tacrolimus topical | drug_modules\dermatology.py | 26 fields
Tadalafil | drug_modules\urology.py | 26 fields
Tamoxifen | drug_modules\oncology\hormone_therapy.py | 23 fields
Tamsulosin | drug_modules\urology.py | 25 fields
Tapentadol | drug_modules\analgesics\opioid_agonists.py | 23 fields
Tazarotene | drug_modules\dermatology.py | 23 fields
Tegoprazan | drug_modules\gastrointestinal\pcab.py | 22 fields
Teicoplanin | drug_modules\antimicrobial\antibiotics\glycopeptides.py | 26 fields
Telmisartan | drug_modules\cardiovascular\arbs.py | 30 fields
Tenecteplase | drug_modules\hematology.py | 25 fields
Tenofovir | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Tenofovir alafenamide (TAF) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Tenofovir alafenamide/Emtricitabine (TAF/FTC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Tenofovir disoproxil fumarate (TDF) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Tenofovir disoproxil fumarate/Emtricitabine (TDF/FTC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Teplizumab | drug_modules\diabetes\t1dm_prevention.py | 23 fields
Teprotumumab | drug_modules\oncology\monoclonal_antibodies_adcs.py | 24 fields
Terbinafine topical | drug_modules\dermatology.py | 23 fields
Terbutaline | drug_modules\respiratory\short_acting_beta_2_agonist_sabas.py | 22 fields
Teriparatide | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Testosterone | drug_modules\endocrinology_other\sex_hormones.py | 23 fields
Tetrabenazine | drug_modules\neurological\antiparkinsonian.py | 23 fields
Tetracycline | drug_modules\antimicrobial\antibiotics\tetracyclines.py | 27 fields
Tezepelumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Theophylline | drug_modules\respiratory\methylxanthines.py | 24 fields
Thiopental | drug_modules\supportive\sedatives_anesthetics_icu.py | 25 fields
Ticagrelor | drug_modules\cardiovascular\anticoagulants.py | 27 fields
Ticlopidine | drug_modules\cardiovascular_other\antiplatelets.py | 27 fields
Tigecycline | drug_modules\infectious_other\tetracyclines.py | 23 fields
Timolol | drug_modules\cardiovascular\beta_blockers\non_selective.py | 23 fields
Timolol eye drops | drug_modules\ophthalmology.py | 23 fields
Tiotropium | drug_modules\respiratory\anticholinergic_long_actings.py | 23 fields
Tiotropium/Olodaterol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Tirzepatide | drug_modules\diabetes\glp1_agonists.py | 26 fields
Tizanidine | drug_modules\neurological\muscle_relaxants.py | 22 fields
Tobramycin | drug_modules\antimicrobial\antibiotics\aminoglycosides.py | 27 fields
Tobramycin eye drops | drug_modules\ophthalmology.py | 23 fields
Tocilizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Tofacitinib | drug_modules\gastrointestinal\jak_inhibitors.py | 24 fields
Tolterodine | drug_modules\urology.py | 24 fields
Topiramate | drug_modules\neurological\anticonvulsants.py | 22 fields
Topotecan | drug_modules\oncology\topoisomerase_inhibitors.py | 23 fields
Torsemide | drug_modules\cardiovascular\diuretics.py | 16 fields
Tramadol | drug_modules\analgesics\opioid_agonists.py | 24 fields
Tranexamic acid | drug_modules\hematology.py | 24 fields
Tranylcypromine | drug_modules\psychiatry_other\antidepressants.py | 23 fields
Trastuzumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Trastuzumab deruxtecan | drug_modules\oncology\monoclonal_antibodies_adcs.py | 24 fields
Travoprost | drug_modules\ophthalmology.py | 23 fields
Trazodone | drug_modules\psychiatry_other\antidepressants.py | 23 fields
Tretinoin topical | drug_modules\dermatology.py | 24 fields
Triamcinolone topical | drug_modules\dermatology.py | 23 fields
Trimebutine | drug_modules\gastrointestinal\antispasmodics.py | 25 fields
Trimethoprim-sulfamethoxazole | drug_modules\antimicrobial\antibiotics\sulfonamides.py | 27 fields
Tropicamide eye drops | drug_modules\ophthalmology.py | 23 fields
Ubrogepant | drug_modules\neurological\migraine_cgrp_drugs.py | 23 fields
Umeclidinium | drug_modules\respiratory\anticholinergic_long_actings.py | 23 fields
Umeclidinium/Vilanterol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Upadacitinib | drug_modules\gastrointestinal\jak_inhibitors.py | 24 fields
Ustekinumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Valacyclovir | drug_modules\antimicrobial\antivirals\herpes.py | 23 fields
Valproate | drug_modules\neurological\anticonvulsants.py | 26 fields
Valsartan | drug_modules\cardiovascular\arbs.py | 26 fields
Vancomycin | drug_modules\antimicrobial\antibiotics\glycopeptides.py | 27 fields
Vardenafil | drug_modules\urology.py | 24 fields
Vasopressin | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 25 fields
Vecuronium | drug_modules\emergency\neuromuscular_blockers.py | 25 fields
Vedolizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Venlafaxine | drug_modules\psychiatry_other\snris.py | 22 fields
Verapamil | drug_modules\cardiovascular\calcium_blockers\non_dihydropyridines.py | 23 fields
Vericiguat | drug_modules\cardiovascular\other_cv.py | 24 fields
Vilanterol | drug_modules\respiratory\long_acting_beta_2_agonist_labas.py | 23 fields
Vildagliptin | drug_modules\diabetes\dpp_4_inhibitors.py | 25 fields
Vincristine | drug_modules\oncology\vinca_alkaloids.py | 23 fields
Vinpocetine | drug_modules\neurological\cerebral_circulation.py | 24 fields
Vitamin B12 | drug_modules\supportive\vitamin_b12s.py | 24 fields
Vitamin C | drug_modules\miscellaneous\vitamins.py | 22 fields
Vitamin D | drug_modules\supportive\vitamin_ds.py | 24 fields
Vitamin D3 (Cholecalciferol) | drug_modules\miscellaneous\vitamins.py | 24 fields
Vitamin E | drug_modules\miscellaneous\vitamins.py | 22 fields
Vitamin K | drug_modules\hematology.py | 24 fields
Vonoprazan | drug_modules\gastrointestinal\pcab.py | 22 fields
Voriconazole | drug_modules\antimicrobial\antifungals\azoles.py | 24 fields
Warfarin | drug_modules\cardiovascular\anticoagulants.py | 24 fields
Zafirlukast | drug_modules\respiratory\leukotriene_receptor_antagonists.py | 23 fields
Zanamivir | drug_modules\antimicrobial\antivirals\influenza.py | 27 fields
Ziprasidone | drug_modules\psychiatry_other\antipsychotics.py | 23 fields
Zoledronic acid | drug_modules\emergency\electrolytes.py | 23 fields
Zonisamide | drug_modules\neurological\anticonvulsants.py | 23 fields
